ax,ay,az,gx,gy,gz,target
6.07,-0.46,8.05,0.3,-0.1,0.0,ANOM
5.63,-0.3,8.11,0.27,-0.08,-0.02,ANOM
5.2,-0.36,8.36,0.25,-0.07,0.0,ANOM
5.8,-0.69,8.11,0.29,-0.09,0.02,ANOM
6.36,-0.5,7.96,0.29,-0.12,0.0,ANOM
5.94,-0.28,8.2,0.27,-0.09,-0.02,ANOM
5.31,-0.22,8.37,0.25,-0.07,-0.01,ANOM
5.55,-0.77,8.36,0.29,-0.08,0.01,ANOM
6.01,-0.57,8.07,0.29,-0.11,0.01,ANOM
5.92,-0.32,7.88,0.27,-0.09,-0.02,ANOM
5.81,-0.11,8.08,0.25,-0.09,-0.01,ANOM
5.81,-0.77,8.49,0.29,-0.1,0.02,ANOM
5.66,-0.47,8.37,0.29,-0.1,0.02,ANOM
5.6,-0.24,7.83,0.27,-0.07,-0.03,ANOM
5.77,-0.25,8.01,0.25,-0.08,-0.01,ANOM
6.0,-0.86,8.21,0.29,-0.11,0.02,ANOM
6.02,-0.41,8.29,0.29,-0.11,0.02,ANOM
5.72,-0.27,8.14,0.28,-0.08,-0.03,ANOM
5.39,-0.19,8.32,0.26,-0.06,-0.02,ANOM
5.61,-0.92,8.42,0.27,-0.09,0.02,ANOM
5.98,-0.38,7.97,0.29,-0.11,0.02,ANOM
6.2,-0.41,7.83,0.28,-0.1,-0.02,ANOM
5.78,-0.19,8.29,0.26,-0.09,-0.02,ANOM
5.55,-1.01,8.72,0.27,-0.09,0.02,ANOM
5.46,-0.45,8.28,0.29,-0.08,0.01,ANOM
5.74,-0.49,7.75,0.28,-0.08,-0.02,ANOM
6.02,-0.44,7.93,0.27,-0.09,-0.03,ANOM
5.92,-0.97,8.53,0.28,-0.12,0.02,ANOM
5.58,-0.59,8.52,0.32,-0.11,0.02,ANOM
5.53,-0.43,8.09,0.31,-0.07,-0.03,ANOM
5.55,-0.47,8.01,0.29,-0.07,-0.04,ANOM
5.67,-1.03,8.44,0.28,-0.11,0.01,ANOM
5.9,-0.42,8.22,0.33,-0.11,0.0,ANOM
6.25,-0.4,7.87,0.33,-0.1,-0.04,ANOM
5.88,-0.42,8.34,0.3,-0.09,-0.06,ANOM
5.32,-0.8,8.73,0.28,-0.09,-0.02,ANOM
5.43,-0.23,8.07,0.32,-0.08,-0.02,ANOM
6.28,-0.19,7.59,0.32,-0.09,-0.05,ANOM
6.16,-0.09,8.15,0.28,-0.1,-0.05,ANOM
5.66,-0.16,8.73,0.26,-0.1,0.0,ANOM
5.42,0.33,8.42,0.31,-0.08,0.02,ANOM
5.95,0.22,7.91,0.31,-0.08,-0.01,ANOM
5.74,0.03,8.02,0.26,-0.09,-0.01,ANOM
5.6,0.06,8.42,0.25,-0.1,0.05,ANOM
6.03,0.28,8.07,0.3,-0.09,0.05,ANOM
6.15,-0.14,8.15,0.29,-0.1,0.04,ANOM
5.65,0.11,8.39,0.24,-0.08,0.02,ANOM
5.2,-0.01,8.37,0.2,-0.06,0.04,ANOM
5.87,-0.24,7.8,0.26,-0.09,0.05,ANOM
6.49,-0.32,7.94,0.24,-0.11,0.04,ANOM
5.87,-0.34,8.3,0.2,-0.07,-0.0,ANOM
5.29,-0.43,8.46,0.18,-0.06,0.02,ANOM
5.67,-0.85,8.19,0.24,-0.07,0.02,ANOM
5.89,-1.19,8.16,0.24,-0.09,0.01,ANOM
5.77,-0.82,8.11,0.24,-0.08,-0.02,ANOM
5.54,-0.57,8.21,0.23,-0.08,-0.02,ANOM
5.63,-1.48,8.6,0.3,-0.1,0.02,ANOM
5.61,-1.25,8.46,0.3,-0.11,0.03,ANOM
5.16,-1.02,8.26,0.28,-0.07,-0.03,ANOM
5.43,-0.71,7.91,0.29,-0.08,-0.01,ANOM
6.12,-1.48,8.0,0.34,-0.13,0.01,ANOM
6.0,-1.29,8.55,0.33,-0.14,0.01,ANOM
5.72,-0.71,8.08,0.32,-0.09,-0.06,ANOM
5.51,-0.3,7.98,0.31,-0.07,-0.07,ANOM
5.8,-1.17,8.18,0.34,-0.1,-0.04,ANOM
5.86,-0.64,8.12,0.32,-0.11,-0.04,ANOM
6.05,0.03,7.82,0.31,-0.08,-0.09,ANOM
5.92,0.51,8.12,0.3,-0.08,-0.08,ANOM
5.78,-0.57,8.75,0.32,-0.11,-0.02,ANOM
5.38,0.29,8.41,0.32,-0.09,-0.01,ANOM
5.66,0.53,7.71,0.31,-0.07,-0.06,ANOM
6.02,0.72,7.83,0.3,-0.09,-0.02,ANOM
6.19,-0.22,8.62,0.32,-0.13,0.05,ANOM
5.65,0.66,8.39,0.31,-0.1,0.04,ANOM
5.74,0.65,7.84,0.29,-0.06,0.0,ANOM
5.77,0.65,7.76,0.26,-0.08,0.02,ANOM
5.9,-0.4,8.44,0.23,-0.11,0.08,ANOM
5.82,0.44,8.08,0.24,-0.09,0.07,ANOM
6.36,0.35,7.77,0.23,-0.08,0.03,ANOM
5.85,0.21,8.15,0.2,-0.07,0.02,ANOM
5.3,-0.89,8.84,0.18,-0.08,0.07,ANOM
5.32,0.07,8.15,0.21,-0.06,0.05,ANOM
6.26,-0.21,7.55,0.22,-0.07,0.01,ANOM
6.22,-0.45,8.13,0.19,-0.1,0.02,ANOM
5.42,-1.14,8.98,0.17,-0.09,0.07,ANOM
5.15,-0.44,8.41,0.22,-0.06,0.05,ANOM
5.94,-0.7,7.76,0.23,-0.07,0.02,ANOM
5.78,-0.97,8.11,0.21,-0.09,0.02,ANOM
5.41,-1.34,8.78,0.2,-0.1,0.06,ANOM
5.73,-0.83,8.26,0.25,-0.09,0.05,ANOM
6.22,-0.9,7.78,0.28,-0.1,0.01,ANOM
5.51,-1.13,8.42,0.25,-0.09,-0.01,ANOM
5.05,-1.44,8.75,0.23,-0.08,0.02,ANOM
5.7,-0.91,7.96,0.29,-0.08,0.01,ANOM
6.51,-1.08,7.75,0.31,-0.12,-0.01,ANOM
5.66,-1.21,8.55,0.27,-0.1,-0.04,ANOM
5.09,-1.3,8.84,0.26,-0.08,-0.02,ANOM
5.49,-0.92,8.05,0.33,-0.08,-0.04,ANOM
6.23,-1.25,7.8,0.36,-0.12,-0.04,ANOM
5.75,-1.08,8.29,0.33,-0.1,-0.08,ANOM
5.36,-0.72,8.56,0.3,-0.08,-0.06,ANOM
