ax,ay,az,gx,gy,gz,target
5.95,-1.17,8.26,0.3,-0.09,0.01,ANOM1
5.86,-0.58,7.9,0.28,-0.09,0.01,ANOM1
6.09,-0.71,7.57,0.26,-0.08,-0.03,ANOM1
6.23,-0.46,7.79,0.25,-0.1,-0.0,ANOM1
6.51,-1.14,8.12,0.29,-0.12,0.03,ANOM1
6.11,-0.73,8.2,0.28,-0.11,0.03,ANOM1
5.85,-0.8,7.85,0.27,-0.07,-0.01,ANOM1
5.67,-0.61,7.78,0.25,-0.08,0.0,ANOM1
6.24,-1.41,7.91,0.28,-0.12,0.04,ANOM1
6.38,-0.82,7.96,0.29,-0.12,0.03,ANOM1
6.39,-0.98,7.83,0.27,-0.1,-0.01,ANOM1
5.9,-0.81,8.05,0.26,-0.09,-0.0,ANOM1
5.95,-1.56,8.09,0.29,-0.1,0.02,ANOM1
6.01,-1.1,7.76,0.29,-0.1,0.01,ANOM1
6.54,-1.18,7.54,0.28,-0.09,-0.04,ANOM1
6.45,-0.84,7.76,0.27,-0.1,-0.04,ANOM1
6.38,-1.58,8.25,0.31,-0.11,-0.01,ANOM1
5.88,-1.11,8.14,0.31,-0.09,-0.02,ANOM1
5.98,-1.04,7.6,0.3,-0.06,-0.06,ANOM1
6.12,-0.8,7.58,0.3,-0.08,-0.05,ANOM1
6.42,-1.5,8.14,0.32,-0.12,-0.0,ANOM1
6.09,-0.73,8.18,0.34,-0.1,-0.01,ANOM1
6.2,-0.64,8.03,0.34,-0.08,-0.04,ANOM1
5.78,-0.11,7.93,0.32,-0.07,-0.04,ANOM1
5.82,-0.91,8.15,0.32,-0.1,0.0,ANOM1
6.05,-0.11,7.75,0.32,-0.09,-0.0,ANOM1
6.67,0.07,7.5,0.3,-0.09,-0.03,ANOM1
6.27,0.25,7.96,0.27,-0.09,-0.03,ANOM1
5.89,-0.7,8.61,0.26,-0.1,0.02,ANOM1
5.58,0.15,8.03,0.26,-0.07,0.01,ANOM1
6.17,-0.08,7.44,0.24,-0.06,-0.02,ANOM1
6.32,-0.04,7.73,0.23,-0.09,-0.0,ANOM1
6.14,-0.91,8.57,0.22,-0.12,0.05,ANOM1
5.71,-0.17,8.17,0.25,-0.09,0.05,ANOM1
6.03,-0.41,7.62,0.25,-0.07,0.03,ANOM1
5.79,-0.36,7.81,0.22,-0.07,0.03,ANOM1
5.94,-1.35,8.19,0.2,-0.11,0.09,ANOM1
6.24,-0.59,7.77,0.24,-0.1,0.07,ANOM1
6.57,-0.81,7.68,0.23,-0.09,0.04,ANOM1
5.92,-0.91,8.04,0.21,-0.08,0.02,ANOM1
5.54,-1.56,8.37,0.19,-0.09,0.06,ANOM1
5.77,-1.11,7.82,0.23,-0.07,0.04,ANOM1
6.55,-1.45,7.45,0.23,-0.08,-0.0,ANOM1
6.54,-1.43,7.88,0.22,-0.1,-0.01,ANOM1
5.81,-1.87,8.65,0.22,-0.09,0.02,ANOM1
5.66,-1.53,8.09,0.27,-0.07,0.01,ANOM1
6.24,-1.57,7.55,0.29,-0.07,-0.02,ANOM1
6.0,-1.63,7.82,0.28,-0.08,-0.03,ANOM1
5.92,-1.97,8.44,0.29,-0.1,0.01,ANOM1
6.11,-1.38,7.99,0.35,-0.09,-0.0,ANOM1
6.22,-1.47,7.85,0.36,-0.08,-0.02,ANOM1
5.81,-1.23,7.94,0.34,-0.07,-0.05,ANOM1
5.55,-1.43,8.23,0.32,-0.08,-0.02,ANOM1
5.98,-0.92,7.7,0.36,-0.08,-0.03,ANOM1
6.67,-0.73,7.6,0.36,-0.1,-0.06,ANOM1
6.28,-0.57,8.01,0.33,-0.1,-0.09,ANOM1
5.49,-0.68,8.55,0.3,-0.08,-0.06,ANOM1
5.54,-0.36,8.02,0.34,-0.07,-0.05,ANOM1
6.22,-0.19,7.36,0.33,-0.09,-0.06,ANOM1
6.14,-0.29,7.75,0.3,-0.1,-0.07,ANOM1
5.87,-0.33,8.37,0.28,-0.11,-0.0,ANOM1
