ax,ay,az,gx,gy,gz,target
-9.46,-6.5,5.0,0.61,0.43,-0.8,IDLE
5.69,-0.97,8.35,0.26,-0.06,-0.02,IDLE
5.84,-0.08,7.46,0.24,-0.05,-0.02,IDLE
6.16,-0.6,7.3,0.31,-0.08,-0.0,IDLE
6.41,-1.58,8.14,0.3,-0.12,0.03,IDLE
6.35,-0.83,8.04,0.26,-0.09,-0.01,IDLE
6.14,0.06,7.73,0.26,-0.07,-0.02,IDLE
6.02,-0.98,7.96,0.31,-0.08,0.0,IDLE
5.73,-1.49,8.37,0.27,-0.09,0.03,IDLE
6.31,-0.59,7.43,0.27,-0.07,-0.01,IDLE
6.72,0.07,7.19,0.26,-0.08,-0.02,IDLE
6.57,-1.17,8.29,0.32,-0.11,0.01,IDLE
5.64,-1.36,8.71,0.26,-0.09,0.03,IDLE
5.87,-0.43,7.47,0.27,-0.05,-0.02,IDLE
6.48,0.05,6.84,0.29,-0.08,-0.02,IDLE
6.44,-1.74,8.1,0.29,-0.12,0.01,IDLE
6.19,-1.06,8.34,0.25,-0.11,0.03,IDLE
6.51,-0.33,7.52,0.29,-0.08,-0.01,IDLE
6.3,-0.19,7.47,0.3,-0.08,-0.02,IDLE
5.72,-1.66,8.24,0.27,-0.08,0.0,IDLE
5.87,-0.75,7.95,0.24,-0.08,0.02,IDLE
7.01,-0.48,7.06,0.31,-0.1,-0.01,IDLE
6.85,-0.22,7.52,0.3,-0.11,-0.01,IDLE
5.92,-1.68,8.62,0.26,-0.09,0.0,IDLE
5.57,-0.65,8.36,0.24,-0.06,0.02,IDLE
6.43,-0.5,7.12,0.31,-0.09,-0.0,IDLE
6.64,-0.76,7.47,0.3,-0.11,-0.02,IDLE
6.35,-1.45,8.4,0.24,-0.12,0.0,IDLE
6.12,-0.35,8.24,0.25,-0.09,0.02,IDLE
6.4,-0.73,7.67,0.32,-0.09,0.0,IDLE
6.12,-0.6,7.61,0.3,-0.08,-0.02,IDLE
5.94,-1.47,8.11,0.22,-0.09,-0.0,IDLE
6.33,-0.29,7.58,0.26,-0.1,0.01,IDLE
6.84,-0.7,7.71,0.33,-0.12,0.01,IDLE
6.46,-0.9,8.06,0.29,-0.11,-0.02,IDLE
5.64,-1.23,8.55,0.22,-0.07,-0.0,IDLE
5.76,-0.1,7.55,0.27,-0.06,0.0,IDLE
6.64,-1.14,7.4,0.33,-0.11,0.01,IDLE
6.62,-1.05,7.95,0.28,-0.12,-0.01,IDLE
6.03,-0.7,8.25,0.22,-0.09,-0.01,IDLE
6.07,-0.18,7.87,0.29,-0.08,0.0,IDLE
6.21,-1.21,7.98,0.32,-0.1,0.01,IDLE
5.9,-1.07,7.86,0.26,-0.08,-0.01,IDLE
6.22,-0.62,7.61,0.22,-0.08,-0.01,IDLE
6.65,-0.31,7.58,0.31,-0.11,0.0,IDLE
6.22,-1.48,8.43,0.31,-0.11,0.03,IDLE
5.84,-0.99,8.37,0.26,-0.08,-0.01,IDLE
5.7,-0.31,7.75,0.23,-0.05,-0.02,IDLE
6.22,-0.64,7.44,0.31,-0.09,0.0,IDLE
6.45,-1.53,8.18,0.29,-0.12,0.03,IDLE
6.35,-0.68,8.06,0.26,-0.09,-0.01,IDLE
6.15,-0.06,7.75,0.26,-0.06,-0.02,IDLE
5.99,-0.76,7.98,0.31,-0.08,0.0,IDLE
5.71,-1.5,8.41,0.28,-0.09,0.03,IDLE
6.19,-0.63,7.5,0.26,-0.07,-0.01,IDLE
6.71,-0.02,7.32,0.27,-0.09,-0.02,IDLE
6.27,-1.17,8.35,0.31,-0.1,0.01,IDLE
5.69,-1.38,8.58,0.26,-0.09,0.03,IDLE
5.86,-0.48,7.72,0.27,-0.06,-0.01,IDLE
6.19,-0.01,7.05,0.28,-0.07,-0.02,IDLE
6.34,-1.5,7.92,0.29,-0.1,0.0,IDLE
6.29,-1.08,8.31,0.26,-0.11,0.03,IDLE
6.36,-0.34,7.53,0.29,-0.08,-0.01,IDLE
6.18,-0.26,7.44,0.3,-0.07,-0.02,IDLE
5.78,-1.4,8.19,0.28,-0.08,-0.0,IDLE
5.83,-1.08,8.07,0.24,-0.09,0.02,IDLE
6.71,-0.37,7.11,0.3,-0.1,-0.0,IDLE
6.79,-0.24,7.69,0.31,-0.11,-0.02,IDLE
5.93,-1.65,8.61,0.26,-0.09,-0.0,IDLE
5.58,-0.68,8.28,0.24,-0.07,0.02,IDLE
6.42,-0.44,7.15,0.31,-0.09,-0.0,IDLE
6.6,-0.75,7.35,0.3,-0.1,-0.02,IDLE
6.4,-1.57,8.34,0.24,-0.12,0.0,IDLE
6.03,-0.38,8.23,0.25,-0.09,0.01,IDLE
6.32,-0.66,7.62,0.33,-0.08,-0.0,IDLE
6.16,-0.84,7.58,0.29,-0.09,-0.02,IDLE
6.01,-1.39,8.05,0.22,-0.09,-0.0,IDLE
6.19,-0.4,7.58,0.26,-0.09,0.01,IDLE
6.95,-0.61,7.52,0.33,-0.12,0.01,IDLE
6.27,-1.01,8.18,0.29,-0.1,-0.02,IDLE
5.57,-1.1,8.44,0.22,-0.06,-0.01,IDLE
5.87,-0.12,7.5,0.27,-0.07,0.01,IDLE
6.69,-1.14,7.53,0.33,-0.12,0.01,IDLE
6.62,-1.05,7.89,0.28,-0.11,-0.01,IDLE
6.22,-0.85,8.24,0.22,-0.1,-0.01,IDLE
5.95,-0.22,7.9,0.29,-0.08,0.01,IDLE
6.08,-1.1,7.92,0.32,-0.09,0.01,IDLE
6.08,-1.15,7.83,0.26,-0.09,-0.01,IDLE
