ax,ay,az,gx,gy,gz,target
5.42,-0.66,8.4,0.26,-0.09,-0.0,IDLE1
6.11,-0.26,7.65,0.26,-0.08,-0.06,IDLE1
6.24,-0.08,7.86,0.22,-0.08,-0.09,IDLE1
5.93,-0.9,8.58,0.23,-0.1,-0.03,IDLE1
5.48,-0.58,8.69,0.25,-0.09,-0.01,IDLE1
5.62,-0.24,7.99,0.25,-0.06,-0.07,IDLE1
5.87,-0.21,7.69,0.23,-0.06,-0.09,IDLE1
5.84,-1.01,8.5,0.22,-0.1,-0.03,IDLE1
5.67,-0.47,8.58,0.25,-0.1,-0.01,IDLE1
6.01,-0.2,8.04,0.27,-0.08,-0.06,IDLE1
5.88,-0.28,8.07,0.25,-0.07,-0.07,IDLE1
5.27,-0.97,8.5,0.22,-0.08,-0.02,IDLE1
5.34,-0.49,8.18,0.27,-0.08,0.0,IDLE1
6.44,-0.26,7.54,0.29,-0.1,-0.03,IDLE1
6.21,-0.45,8.23,0.27,-0.11,-0.03,IDLE1
5.6,-0.78,8.55,0.24,-0.1,0.01,IDLE1
5.2,-0.36,8.54,0.27,-0.07,0.01,IDLE1
5.97,-0.42,7.66,0.31,-0.09,-0.01,IDLE1
6.21,-0.58,7.86,0.27,-0.11,-0.02,IDLE1
5.77,-0.57,8.49,0.24,-0.11,0.01,IDLE1
5.82,-0.23,8.35,0.3,-0.09,0.02,IDLE1
6.19,-0.62,8.01,0.31,-0.1,-0.0,IDLE1
5.73,-0.39,8.16,0.27,-0.08,-0.02,IDLE1
5.37,-0.45,8.25,0.24,-0.07,-0.01,IDLE1
5.94,-0.45,8.05,0.29,-0.09,0.01,IDLE1
6.51,-0.6,8.05,0.3,-0.12,0.01,IDLE1
5.84,-0.38,8.27,0.27,-0.09,-0.02,IDLE1
5.33,-0.3,8.61,0.24,-0.07,-0.01,IDLE1
5.48,-0.47,8.13,0.29,-0.07,0.0,IDLE1
6.01,-0.71,7.83,0.3,-0.1,0.01,IDLE1
6.22,-0.39,7.88,0.27,-0.1,-0.02,IDLE1
5.7,-0.13,8.39,0.25,-0.08,-0.01,IDLE1
5.68,-0.58,8.46,0.29,-0.08,0.01,IDLE1
5.82,-0.58,8.18,0.29,-0.1,0.01,IDLE1
5.61,-0.36,7.98,0.27,-0.07,-0.03,IDLE1
5.61,-0.18,7.97,0.24,-0.07,-0.03,IDLE1
6.14,-0.62,8.24,0.26,-0.1,-0.01,IDLE1
5.99,-0.59,8.39,0.28,-0.11,0.01,IDLE1
5.59,-0.37,8.33,0.26,-0.07,-0.04,IDLE1
5.36,-0.07,8.24,0.22,-0.05,-0.06,IDLE1
5.47,-0.8,8.26,0.24,-0.07,-0.03,IDLE1
6.0,-0.71,8.1,0.27,-0.11,-0.0,IDLE1
6.13,-0.27,8.04,0.24,-0.09,-0.06,IDLE1
5.68,-0.12,8.22,0.22,-0.07,-0.08,IDLE1
5.43,-0.82,8.52,0.23,-0.08,-0.04,IDLE1
5.51,-0.69,8.51,0.26,-0.09,-0.02,IDLE1
5.67,-0.31,7.87,0.24,-0.07,-0.07,IDLE1
5.95,-0.21,7.83,0.22,-0.07,-0.08,IDLE1
5.92,-0.83,8.51,0.24,-0.11,-0.03,IDLE1
5.57,-0.68,8.61,0.27,-0.11,-0.0,IDLE1
5.59,-0.29,8.09,0.26,-0.07,-0.06,IDLE1
5.56,-0.14,7.94,0.24,-0.06,-0.07,IDLE1
5.67,-0.95,8.37,0.24,-0.09,-0.02,IDLE1
5.89,-0.65,8.35,0.28,-0.12,0.01,IDLE1
6.09,-0.21,8.03,0.28,-0.09,-0.03,IDLE1
5.82,-0.29,8.16,0.27,-0.07,-0.05,IDLE1
5.55,-0.83,8.6,0.26,-0.09,-0.0,IDLE1
5.21,-0.61,8.45,0.28,-0.08,0.02,IDLE1
6.08,-0.3,7.49,0.3,-0.08,-0.02,IDLE1
6.41,-0.27,7.76,0.27,-0.1,-0.03,IDLE1
5.79,-0.79,8.58,0.26,-0.11,0.01,IDLE1
5.36,-0.44,8.49,0.28,-0.08,0.02,IDLE1
5.83,-0.3,7.74,0.3,-0.08,-0.01,IDLE1
5.99,-0.32,7.69,0.28,-0.08,-0.03,IDLE1
5.8,-0.79,8.38,0.25,-0.1,0.01,IDLE1
5.86,-0.31,8.37,0.28,-0.1,0.02,IDLE1
6.18,-0.4,7.97,0.31,-0.09,-0.0,IDLE1
5.81,-0.44,8.21,0.27,-0.08,-0.02,IDLE1
5.31,-0.54,8.39,0.24,-0.07,0.0,IDLE1
5.46,-0.37,8.15,0.28,-0.07,0.01,IDLE1
6.42,-0.53,7.74,0.31,-0.11,0.0,IDLE1
6.25,-0.4,8.21,0.27,-0.1,-0.02,IDLE1
5.31,-0.38,8.64,0.24,-0.07,-0.0,IDLE1
5.37,-0.34,8.27,0.28,-0.06,0.0,IDLE1
6.01,-0.67,7.88,0.29,-0.09,0.0,IDLE1
5.99,-0.54,7.91,0.26,-0.1,-0.02,IDLE1
