ax,ay,az,gx,gy,gz,target
5.44,-0.13,8.12,0.4,-0.09,0.22,MOV
5.8,-0.96,8.2,0.44,-0.13,0.28,MOV
6.22,-0.68,7.93,0.47,-0.15,0.27,MOV
6.28,-0.39,7.9,0.44,-0.12,0.21,MOV
5.9,-0.09,8.08,0.4,-0.11,0.22,MOV
5.87,-0.87,8.33,0.45,-0.13,0.28,MOV
5.85,-0.65,8.13,0.46,-0.13,0.27,MOV
5.96,-0.47,7.69,0.42,-0.1,0.2,MOV
6.02,-0.16,7.77,0.39,-0.1,0.21,MOV
6.17,-0.87,8.36,0.44,-0.14,0.27,MOV
6.22,-0.57,8.07,0.46,-0.14,0.25,MOV
5.82,-0.45,7.99,0.41,-0.09,0.18,MOV
5.49,-0.19,7.96,0.38,-0.08,0.18,MOV
5.93,-0.96,8.19,0.42,-0.13,0.24,MOV
6.29,-0.56,7.9,0.44,-0.14,0.23,MOV
6.17,-0.44,8.03,0.41,-0.11,0.17,MOV
5.7,-0.2,8.27,0.37,-0.09,0.17,MOV
5.66,-0.89,8.37,0.41,-0.12,0.23,MOV
5.83,-0.59,8.04,0.43,-0.12,0.22,MOV
6.05,-0.54,7.73,0.4,-0.11,0.16,MOV
5.94,-0.19,7.97,0.37,-0.11,0.17,MOV
5.89,-0.87,8.39,0.41,-0.14,0.23,MOV
6.02,-0.59,8.2,0.44,-0.14,0.23,MOV
5.77,-0.47,7.9,0.4,-0.1,0.17,MOV
5.57,-0.32,7.92,0.37,-0.09,0.18,MOV
6.03,-1.0,8.12,0.42,-0.14,0.24,MOV
6.31,-0.58,8.0,0.45,-0.15,0.24,MOV
6.06,-0.48,8.0,0.41,-0.12,0.18,MOV
5.58,-0.25,8.26,0.38,-0.1,0.19,MOV
5.64,-0.98,8.13,0.42,-0.13,0.24,MOV
6.02,-0.68,7.88,0.44,-0.13,0.23,MOV
6.34,-0.52,7.59,0.41,-0.12,0.18,MOV
6.0,-0.22,8.03,0.38,-0.12,0.19,MOV
5.79,-0.97,8.41,0.42,-0.13,0.25,MOV
6.0,-0.59,8.1,0.45,-0.13,0.23,MOV
5.92,-0.48,7.67,0.41,-0.1,0.17,MOV
5.81,-0.4,7.9,0.38,-0.1,0.19,MOV
6.14,-0.95,8.12,0.43,-0.14,0.25,MOV
6.26,-0.56,8.0,0.45,-0.14,0.24,MOV
6.0,-0.5,7.96,0.42,-0.1,0.18,MOV
5.53,-0.37,8.24,0.38,-0.09,0.2,MOV
5.68,-0.99,8.13,0.43,-0.12,0.25,MOV
6.22,-0.58,7.79,0.45,-0.13,0.24,MOV
6.45,-0.46,7.69,0.42,-0.12,0.18,MOV
5.85,-0.27,8.25,0.39,-0.11,0.2,MOV
5.66,-0.9,8.35,0.42,-0.11,0.25,MOV
5.92,-0.53,8.08,0.45,-0.11,0.23,MOV
6.08,-0.46,7.6,0.41,-0.1,0.17,MOV
5.9,-0.42,7.96,0.38,-0.11,0.19,MOV
6.0,-0.87,8.29,0.42,-0.13,0.24,MOV
6.11,-0.52,8.04,0.45,-0.13,0.23,MOV
5.97,-0.5,7.86,0.41,-0.1,0.17,MOV
5.43,-0.47,8.19,0.37,-0.09,0.19,MOV
5.73,-0.97,8.12,0.41,-0.12,0.24,MOV
6.35,-0.57,7.75,0.45,-0.14,0.23,MOV
6.37,-0.49,7.87,0.41,-0.13,0.18,MOV
5.59,-0.37,8.35,0.38,-0.1,0.19,MOV
5.54,-0.9,8.29,0.42,-0.12,0.24,MOV
5.97,-0.59,7.98,0.45,-0.12,0.23,MOV
6.23,-0.56,7.59,0.41,-0.12,0.18,MOV
5.99,-0.48,7.97,0.38,-0.12,0.19,MOV
5.97,-0.9,8.26,0.42,-0.14,0.24,MOV
6.07,-0.67,8.03,0.44,-0.13,0.23,MOV
5.99,-0.51,7.69,0.41,-0.11,0.17,MOV
5.57,-0.53,8.03,0.36,-0.1,0.18,MOV
5.93,-1.0,8.05,0.41,-0.13,0.23,MOV
6.51,-0.61,7.8,0.44,-0.14,0.22,MOV
6.32,-0.49,7.87,0.4,-0.12,0.16,MOV
5.54,-0.47,8.31,0.36,-0.09,0.17,MOV
5.63,-1.0,8.16,0.4,-0.11,0.22,MOV
6.13,-0.65,7.81,0.43,-0.12,0.21,MOV
6.44,-0.57,7.47,0.4,-0.12,0.16,MOV
5.98,-0.49,8.14,0.37,-0.12,0.17,MOV
5.78,-0.91,8.32,0.41,-0.12,0.22,MOV
6.06,-0.63,7.97,0.44,-0.12,0.21,MOV
6.06,-0.55,7.67,0.4,-0.1,0.15,MOV
5.68,-0.62,8.04,0.36,-0.1,0.17,MOV
6.05,-0.91,8.05,0.41,-0.13,0.22,MOV
6.48,-0.57,7.89,0.44,-0.14,0.21,MOV
6.19,-0.56,7.9,0.4,-0.11,0.16,MOV
5.45,-0.5,8.22,0.36,-0.09,0.16,MOV
5.58,-0.95,8.17,0.4,-0.11,0.21,MOV
6.26,-0.65,7.72,0.43,-0.12,0.2,MOV
6.53,-0.54,7.59,0.4,-0.13,0.16,MOV
5.79,-0.51,8.27,0.36,-0.11,0.17,MOV
5.65,-0.95,8.32,0.41,-0.11,0.22,MOV
6.01,-0.66,7.93,0.44,-0.11,0.21,MOV
6.08,-0.53,7.54,0.4,-0.11,0.16,MOV
5.8,-0.68,8.03,0.37,-0.11,0.18,MOV
6.04,-0.9,8.17,0.41,-0.13,0.23,MOV
6.3,-0.64,7.96,0.45,-0.13,0.22,MOV
6.08,-0.55,7.82,0.41,-0.11,0.17,MOV
5.53,-0.59,8.08,0.37,-0.1,0.18,MOV
5.68,-0.99,8.07,0.41,-0.11,0.23,MOV
6.47,-0.7,7.61,0.44,-0.13,0.22,MOV
6.58,-0.47,7.63,0.41,-0.13,0.17,MOV
5.7,-0.61,8.32,0.36,-0.11,0.18,MOV
5.62,-0.97,8.22,0.4,-0.11,0.22,MOV
6.15,-0.7,7.79,0.43,-0.12,0.21,MOV
6.3,-0.57,7.44,0.4,-0.11,0.15,MOV
5.97,-0.69,8.06,0.35,-0.12,0.17,MOV
5.96,-0.91,8.25,0.4,-0.13,0.21,MOV
6.24,-0.72,7.87,0.43,-0.12,0.2,MOV
6.1,-0.62,7.73,0.39,-0.11,0.15,MOV
5.65,-0.67,8.01,0.35,-0.1,0.16,MOV
5.83,-1.0,8.06,0.4,-0.12,0.21,MOV
6.59,-0.65,7.65,0.43,-0.13,0.2,MOV
6.43,-0.58,7.77,0.4,-0.12,0.15,MOV
5.53,-0.63,8.39,0.35,-0.09,0.16,MOV
5.67,-0.93,8.13,0.39,-0.11,0.2,MOV
6.29,-0.82,7.71,0.43,-0.12,0.2,MOV
6.44,-0.65,7.51,0.39,-0.12,0.15,MOV
6.0,-0.63,8.15,0.35,-0.12,0.16,MOV
5.87,-0.93,8.32,0.39,-0.12,0.2,MOV
6.14,-0.72,7.92,0.43,-0.12,0.2,MOV
6.09,-0.61,7.64,0.39,-0.1,0.14,MOV
5.59,-0.73,8.05,0.35,-0.1,0.16,MOV
5.99,-1.02,8.08,0.4,-0.13,0.21,MOV
6.58,-0.67,7.72,0.43,-0.14,0.2,MOV
6.29,-0.63,7.86,0.4,-0.11,0.15,MOV
5.49,-0.6,8.26,0.36,-0.09,0.16,MOV
5.7,-1.03,8.11,0.39,-0.11,0.2,MOV
6.26,-0.78,7.67,0.43,-0.12,0.2,MOV
6.57,-0.59,7.47,0.4,-0.13,0.15,MOV
5.91,-0.58,8.22,0.36,-0.12,0.16,MOV
5.78,-0.99,8.32,0.4,-0.11,0.2,MOV
6.15,-0.76,7.84,0.43,-0.12,0.2,MOV
6.21,-0.66,7.57,0.39,-0.11,0.15,MOV
5.77,-0.72,8.01,0.35,-0.1,0.15,MOV
6.15,-0.94,8.07,0.39,-0.13,0.2,MOV
6.49,-0.76,7.83,0.42,-0.13,0.19,MOV
6.14,-0.65,7.92,0.39,-0.11,0.14,MOV
5.47,-0.58,8.13,0.34,-0.08,0.14,MOV
5.92,-1.01,8.1,0.38,-0.11,0.19,MOV
6.44,-0.87,7.69,0.42,-0.13,0.19,MOV
6.56,-0.62,7.73,0.38,-0.13,0.14,MOV
5.76,-0.54,8.25,0.34,-0.1,0.14,MOV
5.68,-0.98,8.3,0.39,-0.11,0.19,MOV
6.11,-0.93,7.8,0.42,-0.12,0.19,MOV
6.25,-0.73,7.62,0.38,-0.11,0.14,MOV
5.9,-0.63,7.91,0.34,-0.1,0.14,MOV
6.14,-0.93,8.14,0.39,-0.13,0.19,MOV
6.26,-0.88,7.95,0.42,-0.13,0.19,MOV
6.01,-0.67,7.82,0.38,-0.1,0.13,MOV
5.63,-0.55,7.9,0.34,-0.08,0.13,MOV
6.08,-1.07,8.14,0.38,-0.12,0.18,MOV
6.53,-0.84,7.7,0.41,-0.13,0.18,MOV
6.47,-0.61,7.83,0.38,-0.12,0.13,MOV
5.69,-0.54,8.26,0.34,-0.09,0.13,MOV
5.7,-1.07,8.21,0.38,-0.11,0.18,MOV
6.15,-0.87,7.73,0.41,-0.12,0.18,MOV
6.46,-0.77,7.55,0.38,-0.11,0.13,MOV
6.07,-0.57,7.88,0.34,-0.11,0.13,MOV
6.03,-1.07,8.25,0.38,-0.12,0.18,MOV
6.11,-0.81,7.94,0.41,-0.12,0.18,MOV
6.03,-0.73,7.69,0.38,-0.1,0.12,MOV
5.82,-0.65,7.84,0.34,-0.09,0.13,MOV
6.21,-1.07,8.12,0.38,-0.13,0.18,MOV
6.58,-0.77,7.75,0.41,-0.14,0.18,MOV
6.33,-0.69,7.92,0.38,-0.11,0.13,MOV
5.58,-0.55,8.27,0.34,-0.08,0.12,MOV
5.73,-1.07,8.16,0.37,-0.1,0.17,MOV
6.35,-0.93,7.69,0.41,-0.13,0.17,MOV
6.48,-0.75,7.53,0.37,-0.12,0.12,MOV
6.05,-0.53,8.02,0.33,-0.11,0.12,MOV
5.89,-1.01,8.3,0.37,-0.11,0.17,MOV
6.12,-0.93,7.92,0.41,-0.12,0.17,MOV
6.09,-0.73,7.64,0.37,-0.1,0.12,MOV
5.98,-0.59,7.81,0.34,-0.09,0.12,MOV
6.2,-1.02,8.03,0.38,-0.12,0.17,MOV
6.53,-0.91,7.86,0.41,-0.14,0.18,MOV
6.12,-0.73,7.96,0.37,-0.1,0.12,MOV
5.54,-0.53,8.08,0.34,-0.08,0.12,MOV
5.88,-1.16,8.15,0.38,-0.11,0.17,MOV
6.48,-0.99,7.74,0.41,-0.14,0.18,MOV
6.54,-0.71,7.59,0.38,-0.12,0.12,MOV
5.97,-0.49,8.08,0.34,-0.1,0.12,MOV
5.84,-1.12,8.36,0.38,-0.11,0.17,MOV
6.06,-0.95,7.87,0.4,-0.12,0.17,MOV
6.23,-0.85,7.51,0.37,-0.1,0.12,MOV
6.12,-0.53,7.69,0.34,-0.1,0.11,MOV
6.29,-1.09,8.18,0.38,-0.12,0.17,MOV
6.38,-0.9,7.93,0.41,-0.13,0.17,MOV
6.01,-0.82,7.91,0.37,-0.09,0.11,MOV
