ax,ay,az,gx,gy,gz,target
6.0,-0.39,8.06,0.23,-0.07,-0.11,MOV1
5.61,-0.1,8.2,0.2,-0.05,-0.11,MOV1
5.48,-0.94,8.4,0.23,-0.08,-0.05,MOV1
5.56,-0.62,8.31,0.26,-0.08,-0.04,MOV1
5.94,-0.47,7.74,0.22,-0.07,-0.09,MOV1
6.1,-0.03,7.79,0.2,-0.07,-0.11,MOV1
5.92,-0.92,8.43,0.22,-0.1,-0.05,MOV1
5.63,-0.66,8.51,0.24,-0.09,-0.06,MOV1
5.7,-0.34,7.92,0.2,-0.05,-0.13,MOV1
5.77,-0.08,7.71,0.17,-0.04,-0.16,MOV1
6.1,-1.0,8.13,0.19,-0.09,-0.1,MOV1
6.11,-0.65,8.39,0.2,-0.1,-0.11,MOV1
5.92,-0.14,7.89,0.16,-0.05,-0.2,MOV1
5.81,-0.1,7.84,0.13,-0.04,-0.22,MOV1
5.66,-1.08,8.36,0.14,-0.07,-0.17,MOV1
5.71,-0.71,8.25,0.14,-0.07,-0.18,MOV1
6.22,-0.14,7.56,0.12,-0.05,-0.26,MOV1
6.24,-0.08,7.82,0.1,-0.05,-0.28,MOV1
5.59,-1.12,8.74,0.1,-0.07,-0.22,MOV1
5.36,-0.51,8.49,0.12,-0.04,-0.23,MOV1
5.77,-0.11,7.61,0.1,-0.02,-0.3,MOV1
6.15,-0.32,7.71,0.09,-0.05,-0.3,MOV1
5.87,-1.15,8.62,0.09,-0.08,-0.23,MOV1
5.57,-0.44,8.5,0.12,-0.06,-0.23,MOV1
5.85,-0.16,7.74,0.13,-0.03,-0.29,MOV1
5.79,-0.3,7.99,0.1,-0.04,-0.28,MOV1
5.34,-1.16,8.66,0.1,-0.07,-0.21,MOV1
5.61,-0.47,8.17,0.15,-0.07,-0.19,MOV1
6.35,-0.15,7.7,0.16,-0.06,-0.25,MOV1
5.96,-0.31,8.12,0.13,-0.07,-0.24,MOV1
5.15,-1.1,8.95,0.12,-0.07,-0.17,MOV1
5.23,-0.43,8.42,0.18,-0.06,-0.15,MOV1
6.1,-0.31,7.54,0.18,-0.06,-0.2,MOV1
6.22,-0.28,7.83,0.16,-0.08,-0.19,MOV1
5.64,-1.04,8.83,0.16,-0.09,-0.12,MOV1
5.41,-0.4,8.42,0.21,-0.07,-0.11,MOV1
5.96,-0.24,7.75,0.21,-0.06,-0.16,MOV1
5.8,-0.23,7.84,0.19,-0.06,-0.16,MOV1
5.55,-1.07,8.59,0.18,-0.08,-0.09,MOV1
5.88,-0.36,8.22,0.23,-0.08,-0.08,MOV1
6.34,-0.22,7.76,0.23,-0.07,-0.12,MOV1
5.9,-0.28,8.07,0.21,-0.06,-0.14,MOV1
5.23,-0.95,8.85,0.19,-0.07,-0.08,MOV1
5.37,-0.41,8.24,0.23,-0.06,-0.07,MOV1
6.4,-0.23,7.43,0.23,-0.07,-0.12,MOV1
6.35,-0.24,7.9,0.2,-0.08,-0.13,MOV1
5.42,-0.85,8.87,0.18,-0.07,-0.08,MOV1
5.37,-0.29,8.41,0.23,-0.05,-0.08,MOV1
6.05,-0.11,7.62,0.23,-0.05,-0.13,MOV1
6.02,-0.39,7.84,0.19,-0.06,-0.15,MOV1
5.59,-0.91,8.65,0.16,-0.08,-0.09,MOV1
5.75,-0.2,8.35,0.22,-0.06,-0.1,MOV1
6.23,-0.23,7.73,0.22,-0.06,-0.14,MOV1
5.82,-0.37,8.22,0.17,-0.06,-0.17,MOV1
5.03,-0.92,8.84,0.14,-0.06,-0.12,MOV1
5.51,-0.29,8.1,0.2,-0.05,-0.12,MOV1
6.65,-0.18,7.52,0.21,-0.08,-0.16,MOV1
6.03,-0.49,8.27,0.16,-0.08,-0.18,MOV1
4.97,-0.79,8.92,0.12,-0.06,-0.14,MOV1
5.23,-0.24,8.34,0.19,-0.05,-0.14,MOV1
6.17,-0.24,7.52,0.19,-0.06,-0.18,MOV1
6.09,-0.63,7.96,0.15,-0.09,-0.19,MOV1
5.4,-0.77,8.76,0.12,-0.08,-0.15,MOV1
5.53,-0.31,8.31,0.19,-0.06,-0.14,MOV1
6.2,-0.34,7.75,0.2,-0.08,-0.17,MOV1
5.68,-0.5,8.12,0.16,-0.07,-0.2,MOV1
5.08,-0.93,8.61,0.12,-0.07,-0.15,MOV1
5.8,-0.38,8.04,0.2,-0.07,-0.14,MOV1
6.56,-0.28,7.79,0.21,-0.09,-0.16,MOV1
5.83,-0.55,8.36,0.17,-0.08,-0.19,MOV1
5.07,-0.82,8.87,0.14,-0.07,-0.14,MOV1
5.34,-0.42,8.18,0.21,-0.05,-0.13,MOV1
6.36,-0.35,7.51,0.22,-0.08,-0.15,MOV1
6.26,-0.45,8.01,0.18,-0.09,-0.17,MOV1
5.35,-0.6,8.73,0.15,-0.08,-0.12,MOV1
5.57,-0.43,8.4,0.22,-0.07,-0.11,MOV1
6.11,-0.24,7.75,0.23,-0.07,-0.14,MOV1
5.86,-0.47,7.98,0.19,-0.07,-0.15,MOV1
5.4,-0.7,8.53,0.16,-0.07,-0.1,MOV1
5.87,-0.36,8.16,0.24,-0.07,-0.08,MOV1
6.36,-0.29,7.82,0.25,-0.08,-0.11,MOV1
5.89,-0.45,8.3,0.21,-0.07,-0.13,MOV1
4.96,-0.65,8.74,0.17,-0.06,-0.08,MOV1
5.42,-0.41,8.11,0.24,-0.05,-0.07,MOV1
6.59,-0.34,7.56,0.26,-0.09,-0.09,MOV1
6.19,-0.44,8.26,0.21,-0.09,-0.12,MOV1
5.06,-0.44,8.87,0.17,-0.06,-0.08,MOV1
5.3,-0.25,8.4,0.25,-0.05,-0.06,MOV1
6.14,-0.22,7.65,0.26,-0.07,-0.09,MOV1
6.01,-0.59,7.99,0.21,-0.08,-0.11,MOV1
5.41,-0.48,8.62,0.17,-0.08,-0.07,MOV1
5.69,-0.28,8.27,0.25,-0.07,-0.06,MOV1
6.32,-0.23,7.85,0.26,-0.08,-0.09,MOV1
