ax,ay,az,gx,gy,gz,mx,my,mz,target
0.85791,-0.056152,0.446777,-9.146341,-15.365854,-18.04878,-5.701426,-6.451613,-42.460617,0
0.935059,0.094238,0.385254,-7.743903,-18.231709,-0.731707,-7.651913,-5.551388,-39.609901,0
1.008789,-0.015137,-0.04248,-22.317074,15.670732,-2.073171,-9.902475,-3.6009,-36.309078,0
1.096191,-0.018555,0.059082,-15.121951,8.47561,2.012195,-7.051763,-4.351088,-32.858215,0
0.992676,-0.009277,0.036133,-6.402439,-3.47561,-5.426829,-9.452363,-4.501125,-31.35784,0
1.013184,0.183594,0.05957,-26.95122,19.329269,-8.902439,-8.552138,-2.850713,-32.55814,0
1.005859,0.011719,-0.055176,0.853659,1.097561,4.329268,-9.602401,-5.101275,-30.907726,0
0.989746,0.017578,-0.017578,-0.548781,0.853659,-1.585366,-9.902475,-2.850713,-32.55814,0
1.012695,0.042969,0.066895,4.695122,4.085366,-0.243902,-9.602401,-2.550638,-32.55814,0
0.986328,0.121582,0.083008,5.0,3.292683,-3.292683,-7.951988,-2.100525,-33.158291,0
1.040039,0.060059,0.031738,-19.512196,0.182927,-9.207317,-9.002251,-2.4006,-33.758438,0
-0.20752,0.13916,1.091797,6.280488,1.585366,-4.146341,-8.552138,-6.151538,-31.207802,1
-0.198242,0.04248,1.053711,-2.682927,-7.926829,-1.707317,-9.002251,-6.60165,-32.108028,1
-0.039551,0.149414,0.994141,4.573171,8.841464,1.829268,-7.351838,-7.051763,-32.108028,1
0.004883,0.066895,1.136719,-5.121951,5.060976,-19.085367,-7.80195,-5.701426,-33.308327,1
0.149414,-0.056152,1.048828,5.97561,1.95122,-12.256098,-9.602401,-9.752439,-30.157539,1
0.130371,0.083984,1.039551,3.658537,-4.634146,-27.37805,-8.852213,-8.552138,-31.507877,1
0.081055,0.251465,1.068848,8.719512,19.695122,-3.902439,-7.351838,-4.501125,-35.858967,1
-0.077637,0.206055,1.001465,26.890245,16.036585,9.634147,-9.002251,-7.351838,-33.458366,1
-0.003906,-0.020996,1.005371,2.926829,3.841464,5.243903,-8.402101,-9.902475,-32.708176,1
-0.055664,0.218262,0.98291,-0.426829,0.853659,14.329268,-8.102026,-7.2018,-35.258816,1
0.115234,0.101074,1.080566,0.731707,1.890244,-0.853659,-8.702175,-7.051763,-31.35784,1
-0.026367,1.001953,0.017578,31.402439,-8.536586,0.182927,13.953488,-8.252063,-50.412605,2
0.050293,0.974121,0.060059,1.341463,-10.792684,-2.439024,16.054014,-5.40135,-51.012753,2
-0.009277,1.010254,0.064453,-3.414634,2.439024,0.548781,15.153789,-1.350338,-48.912228,2
-0.017578,0.984863,0.065918,0.060976,-5.426829,-2.439024,15.603901,0.750188,-50.262566,2
0.015625,1.025879,0.008789,7.926829,-4.939024,-3.963415,14.403601,-1.2003,-50.712677,2
-0.194336,0.996582,-0.116699,5.121951,9.329268,-14.634147,17.40435,-2.4006,-50.262566,2
0.044922,1.021973,0.086426,0.060976,2.804878,1.219512,14.403601,3.450863,-50.412605,2
-0.055176,0.998535,0.084961,-0.060976,-1.829268,-0.121951,15.003751,-2.250563,-49.062267,2
0.220703,0.981445,0.154297,0.243902,6.341464,-18.353659,11.852963,0.0,-51.762939,2
0.196289,1.013672,0.101562,-0.060976,7.317073,16.158537,13.653414,-2.850713,-50.11253,2
0.119141,0.977051,0.265137,-1.219512,1.341463,-2.195122,12.903226,-1.500375,-50.712677,2
0.132812,1.014648,0.166992,2.926829,-1.52439,-3.170732,11.552888,-2.250563,-51.762939,2
0.345215,0.963379,0.232422,-5.060976,2.865854,-1.646341,11.702926,2.250563,-49.812454,2
0.161133,0.988281,0.234863,0.609756,9.146341,-6.890244,12.303076,2.850713,-49.362339,2
0.184082,1.0,0.260742,-5.792683,-4.817073,2.682927,13.653414,-1.500375,-52.813202,2
0.170898,0.967773,0.224121,-1.646341,-1.768293,-0.914634,11.702926,-2.100525,-50.862717,2
0.165527,1.001465,0.183105,10.304878,11.341464,-7.317073,13.053264,1.950488,-51.312828,2
0.125977,0.98291,0.206055,-4.268293,4.146341,-1.585366,13.503376,-3.450863,-50.862717,2
